,Powerplant Name,gppd_idnr,Capacity (MW),Primary Fuel,Owner,Source,distance_to_water_km,Longitude,Latitude
28947,WFEC GenCo LLC,USA0055655,90.0,Gas,Western Farmers Elec Coop  Inc,U.S. Energy Information Administration,38.25247556894243,-98.2264,35.0833
28948,WPPI Hartford DG,USA0056266,1.1,Oil,WPPI Energy,U.S. Energy Information Administration,41.27946908650817,-88.4097,43.3358
28949,WSMR I,USA0058010,4.6,Solar,Siemens Government Technologies Inc,U.S. Energy Information Administration,34.20750081784212,-106.4772,32.3958
28950,WWRF Solar Plant,USA0056922,1.5,Solar,SunE U6 Holdings LLC,U.S. Energy Information Administration,3.442296338328053,-107.8134,39.5229
28951,WWTP Power Generation Station,USA0056036,6.6,Biomass,East Bay Municipal Util Dist,U.S. Energy Information Administration,19.41848171443749,-122.2961,37.8258
28952,WYM 1250 Palmer LLC,USA0060614,1.0,Solar,Soltage LLC,U.S. Energy Information Administration,27.687795172034196,-72.2697,42.1511
28953,Wabash Valley Power IGCC,USA0057842,192.0,Gas,Wabash Valley Power Assn  Inc,U.S. Energy Information Administration,0.6033144123494298,-87.4247,39.53
28954,Wabasha Holdco Solar CSG,USA0060838,3.0,Solar,Wabasha Holdco LLC,U.S. Energy Information Administration,1.1785453091841036,-92.0193,44.3671
28955,Wabuska,USA0055988,5.4,Geothermal,Homestretch Geothermal LLC,U.S. Energy Information Administration,50.95659969867189,-119.1801,39.1641
28956,Waco Farm,USA0058863,5.0,Solar,Waco Farm LLC,U.S. Energy Information Administration,26.054469195078383,-81.4261,35.3522
28957,Waddell,USA0007164,40.0,Hydro,Central Arizona Water Conservation Dist,U.S. Energy Information Administration,50.98628224095767,-112.2714,33.8447
28958,Wadesboro Farm 1,USA0061087,5.0,Solar,Wadesboro Farm 1  LLC,U.S. Energy Information Administration,12.977002590229327,-80.0973,34.9911
28959,Wadesboro Farm 2,USA0060575,5.0,Solar,Wadesboro Farm 2  LLC,U.S. Energy Information Administration,9.620463942771828,-80.0932,35.0234
28960,Wadesboro Farm 3,USA0060576,5.0,Solar,Wadesboro Farm 3  LLC,U.S. Energy Information Administration,14.195989765060084,-80.051,34.9694
28961,Wadesboro Solar,USA0061129,5.0,Solar,Wadesboro Solar  LLC,U.S. Energy Information Administration,13.175461474827426,-80.029,34.9739
28962,Wadham Energy LP,USA0050293,29.1,Waste,Wadham Energy Ltd Partners,U.S. Energy Information Administration,16.68920037201609,-122.1096,39.1062
